Date,Open,High,Low,Close,Volume
5/2/2016,30.45,30.69,30.36,30.61,20960902
5/3/2016,30.41,30.56,30.09,30.36,26923067
5/4/2016,30.17,30.21,29.7,29.85,23185269
5/5/2016,29.87,30.02,29.75,29.9,23342111
5/6/2016,29.61,30.11,29.52,30.04,19594173
5/9/2016,30.08,30.17,29.76,29.8,16813826
5/10/2016,30,30.18,29.82,30.14,16963133
5/11/2016,30.16,30.245,29.97,30.06,15662544
5/12/2016,30.11,30.24,29.57,29.76,20760182
5/13/2016,29.86,30.2,29.84,29.91,19857610
5/16/2016,29.9,30.56,29.88,30.39,21739000
5/17/2016,30.57,30.57,29.86,29.98,25550242
5/18/2016,30.03,30.25,29.78,29.99,22415030
5/19/2016,29.77,29.93,29.5,29.63,21659139
5/20/2016,29.73,30.38,29.7,30.15,22727379
5/23/2016,30.23,30.4825,30.13,30.23,20809308
5/24/2016,30.5,31.12,30.45,31.06,23494723
5/25/2016,31.2,31.57,31.15,31.39,18359642
5/26/2016,31.49,31.63,31.4,31.49,12657998
5/27/2016,31.6,31.65,31.45,31.57,13301534
5/31/2016,31.51,31.65,31.31,31.59,23040218
6/1/2016,31.62,31.72,31.47,31.66,17753532
6/2/2016,31.56,31.76,31.45,31.76,14140127
6/3/2016,31.74,31.74,31.395,31.62,15777539
6/6/2016,31.64,31.82,31.58,31.68,15139603
6/7/2016,31.75,32.02,31.7,31.88,19339090
6/8/2016,31.8,32,31.79,31.89,12732088
6/9/2016,31.68,32,31.68,31.94,11276764
6/10/2016,31.7,32.24,31.65,32.04,35749113
6/13/2016,32.05,32.5,32.04,32.17,23004832
6/14/2016,32.01,32.24,31.79,32.14,18754277
6/15/2016,32.25,32.26,31.59,31.61,23783272
6/16/2016,31.44,31.77,31.22,31.69,18547853
6/17/2016,31.73,31.81,31.47,31.76,27047860
6/20/2016,32.07,32.44,32.01,32.17,21961579
6/21/2016,32.26,32.375,32.09,32.32,15476450
6/22/2016,32.3,32.63,32.25,32.29,18304758
6/23/2016,32.58,33,32.5011,32.99,22048784
6/24/2016,31.8,32.32,31.4,31.55,38094301
6/27/2016,31.41,31.41,30.44,30.72,35454030
6/28/2016,30.97,31.2,30.81,31.19,23693871
